count.of.agents,random.seed,stop.at,w1,w2,w3,w4,w5
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,0.5,0.5,0.5,0.9,0.25
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.41,0.49,-0.09,-0.5,0.22
100,2,4,-0.4,0.49,-0.09,-0.5,0.22
100,2,4,-0.4,0.49,-0.1,-0.5,0.22
100,2,4,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.22
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
100,2,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
2,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
3,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
3,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
0,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
2,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
4,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
3,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
3,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
2,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.001,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
1,100,2,0.01,240,-0.4,0.46,-0.1,-0.5,0.25
