RunNumber,stop.at,Result,w1,w2,w3,w4,w5
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,0.5,0.5,0.5,0.9,0.25
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.41,0.49,-0.09,-0.5,0.22
,4,Passed,-0.4,0.49,-0.09,-0.5,0.22
,4,Passed,-0.4,0.49,-0.1,-0.5,0.22
,4,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.22
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
,240,Passed,-0.4,0.46,-0.1,-0.5,0.25
